"metacell","cell_type","age"
632,"Epiblast",4.32
633,"Epiblast",4.51515151515152
634,"Epiblast",3.9375
635,"Ambiguous",2.82352941176471
636,"Zscan4d+ESC",2.96808510638298
637,"Erythroid1",6.43636363636364
638,"Erythroid1",6.48275862068966
639,"Erythroid1",6.06896551724138
640,"Blood progenitors 2",6.49230769230769
641,"Ambiguous",5.28260869565217
642,"ExE endoderm",4.32258064516129
643,"Endothelium",5.58415841584158
644,"Endothelium",5.46808510638298
645,"Endothelium",4.421875
646,"Ambiguous",4.42222222222222
647,"Blood progenitors 2",5.11111111111111
648,"Endothelium",4.92424242424242
649,"Endothelium",4.97590361445783
650,"Cardiomyocytes",7
651,"Mesenchyme",7
652,"Mesenchyme",6.9344262295082
653,"Ambiguous",7
654,"Mesenchyme",6.8
655,"Mesenchyme",6.85483870967742
656,"Mesenchyme",6.28571428571429
657,"Mesenchyme",6.69354838709677
658,"Ambiguous",6.76470588235294
659,"Mesenchyme",6.54761904761905
660,"Mesenchyme",6.60975609756098
661,"Mesenchyme",6.68674698795181
662,"Mesenchyme",6.33333333333333
663,"Cardiomyocytes",7
664,"Endothelium",6.93243243243243
665,"Ambiguous",6.20512820512821
666,"Sox1+",0.128205128205128
667,"Sox1+",3.97916666666667
668,"Ambiguous",6.11538461538462
669,"Paraxial mesoderm",6.93023255813954
670,"Mixed mesoderm",6.15584415584416
671,"Mixed mesoderm",6.68627450980392
672,"Nascent mesoderm",5.71428571428571
673,"Mixed mesoderm",6.03448275862069
674,"Mixed mesoderm",6.03508771929825
675,"Ambiguous",5.66666666666667
676,"Ambiguous",5.375
677,"Nascent mesoderm",5.40579710144928
678,"Nascent mesoderm",5.40384615384615
679,"Anterior Primitive Streak",5.31764705882353
680,"Def. endoderm",5.89473684210526
681,"Ambiguous",4.45833333333333
682,"Ambiguous",4.63265306122449
683,"Ambiguous",4.3
684,"Ambiguous",4.30952380952381
685,"Ambiguous",5.66279069767442
686,"Visceral endoderm",6.23376623376623
687,"Anterior Primitive Streak",6.06
688,"Anterior Primitive Streak",5.63855421686747
689,"Gut",6.59701492537313
690,"Gut",6.04054054054054
691,"Gut",6.8
692,"Def. endoderm",6.57894736842105
693,"Epiblast",5.71794871794872
694,"Epiblast",4.55172413793104
695,"Epiblast",4.83333333333333
696,"Epiblast",5.07692307692308
697,"Epiblast",5.625
698,"Dppa3+",5.66666666666667
699,"Epiblast",4.80555555555556
700,"Epiblast",5.2962962962963
701,"Epiblast",5.10344827586207
702,"Epiblast",4.2962962962963
703,"Epiblast",3.96428571428571
704,"Epiblast",4.44827586206897
705,"Dppa3+",4.73333333333333
706,"Dppa3+",3.70588235294118
707,"Dppa3+",4.22222222222222
708,"Dppa3+",4.82142857142857
709,"Dppa3+",4.3448275862069
710,"Epiblast",4.08
711,"Epiblast",5.03225806451613
712,"Epiblast",4
713,"Dppa3+",4.63636363636364
714,"Epiblast",4.82758620689655
715,"Dppa3+",4.62857142857143
716,"Epiblast",4.65625
717,"Epiblast",4.38461538461539
718,"Epiblast",5.16666666666667
719,"Epiblast",4.5
720,"Epiblast",4.96875
721,"Epiblast",4.62962962962963
722,"Epiblast",4.76666666666667
723,"Epiblast",4.48387096774194
724,"Epiblast",4.67741935483871
725,"Epiblast",4.41791044776119
726,"Dppa3+",4.40540540540541
727,"Epiblast",4.52941176470588
728,"Epiblast",4.51162790697674
729,"Epiblast",4.75757575757576
730,"Dppa3+",4.5
731,"Dppa3+",3.96428571428571
732,"Dppa3+",4.44444444444444
733,"Epiblast",4.52941176470588
734,"Epiblast",4.65714285714286
735,"Epiblast",4.58064516129032
736,"Epiblast",4.39285714285714
737,"Dppa3+",3.8125
738,"Epiblast",4.0952380952381
739,"Dppa3+",3.73913043478261
740,"Epiblast",3.38888888888889
741,"Epiblast",3.36363636363636
742,"Epiblast",3.41176470588235
743,"Epiblast",3.52941176470588
744,"Epiblast",3.25
745,"Epiblast",3.46428571428571
746,"Epiblast",3.4
747,"Epiblast",3.72413793103448
748,"Epiblast",3.54166666666667
749,"Epiblast",3.79310344827586
750,"Epiblast",3.61290322580645
751,"Epiblast",4.0625
752,"Epiblast",3.88888888888889
753,"Epiblast",3.69565217391304
754,"Epiblast",3.46153846153846
755,"Epiblast",4.26666666666667
756,"Epiblast",3.40816326530612
757,"Epiblast",4.125
758,"Epiblast",4.16
759,"Epiblast",4.17857142857143
760,"Epiblast",3.59259259259259
761,"Epiblast",4.75
762,"Epiblast",4.53125
763,"Epiblast",4.1875
764,"Epiblast",4.03448275862069
765,"Epiblast",4.53333333333333
766,"Dppa3+",4.26315789473684
767,"Epiblast",4.52173913043478
768,"Epiblast",4.48275862068966
769,"Epiblast",4.21212121212121
770,"Epiblast",4.70967741935484
771,"Epiblast",4.25
772,"Epiblast",4.3125
773,"Epiblast",4.08695652173913
774,"Epiblast",4.03571428571429
775,"Epiblast",4.2258064516129
776,"Dppa3+",4.03448275862069
777,"Epiblast",4.375
778,"Epiblast",4.46666666666667
779,"Epiblast",4.13333333333333
780,"Epiblast",4.55172413793104
781,"Epiblast",4.8125
782,"Epiblast",4.53846153846154
783,"Epiblast",4.55555555555556
784,"Epiblast",4.66666666666667
785,"Epiblast",4.26666666666667
786,"Epiblast",5
787,"Epiblast",4.5625
788,"Epiblast",4.85714285714286
789,"Epiblast",4.42307692307692
790,"Epiblast",5.06666666666667
791,"Epiblast",5.07692307692308
792,"Epiblast",4.9344262295082
793,"Epiblast",4.40909090909091
794,"Epiblast",4.5921052631579
795,"Epiblast",4.09565217391304
796,"Dppa3+",5.06666666666667
797,"Epiblast",4.87096774193548
798,"Epiblast",4.82608695652174
799,"Epiblast",4.6
800,"Epiblast",4.30188679245283
801,"Epiblast",4.69444444444445
802,"Epiblast",4.6551724137931
803,"Epiblast",3.6
804,"Epiblast",3.92105263157895
805,"Epiblast",3.84848484848485
806,"Ambiguous",4.38095238095238
807,"Dppa3+",3.76744186046512
808,"Epiblast",4.44117647058824
809,"Epiblast",3.9375
810,"Epiblast",4.40625
811,"Epiblast",4.4
812,"Epiblast",4.29411764705882
813,"Epiblast",4.75757575757576
814,"Epiblast",3.86206896551724
815,"Epiblast",3.85185185185185
816,"Epiblast",4.22222222222222
817,"Epiblast",4.03703703703704
818,"Epiblast",4.78787878787879
819,"Dppa3+",4.14285714285714
